,word,English,Arabic
0,“Peace be upon you” – السلام عليكم (As-aalaam alaikum),“Peace be upon you” , السلام عليكم (As-aalaam alaikum)
1,“Good morning” – صباح الخير (Sabah al-khair),“Good morning” , صباح الخير (Sabah al-khair)
2,“Hello” – مرحبا (Marhaban),“Hello” , مرحبا (Marhaban)
3,“Goodbye” – مع السلامة (ma-aa salama) or الى اللقاء (ila lika-e),“Goodbye” , مع السلامة (ma-aa salama) or الى اللقاء (ila lika-e)
4,“Yes” – نعم (Na-am),“Yes” , نعم (Na-am)
5,“No” – لا (La),“No” , لا (La)
6,“Okay” – حسنا (Hasanan),“Okay” , حسنا (Hasanan)
7,“Please” – من فضلك (min fadlik),“Please” , من فضلك (min fadlik)
8,“Thank you” – شكرا (chokran),“Thank you” , شكرا (chokran)
9,“You’re welcome” – لا شكر على واجب (La chokra ala wajib),“You’re welcome” , لا شكر على واجب (La chokra ala wajib)
10,“I’m sorry” – انا اسف (Ana asif),“I’m sorry” , انا اسف (Ana asif)
11,“I don’t know” – لا أعرف (La aa-ref),“I don’t know” , لا أعرف (La aa-ref)
12,“I” – انا (Ana),“I” , انا (Ana)
13,“You” feminine – انتِ (Anti),“You” feminine , انتِ (Anti)
14,“You” masculine – انتَ (Anta),“You” masculine , انتَ (Anta)
15,“He” – هو (Howwa),“He” , هو (Howwa)
16,“She” – هي (Heyya),“She” , هي (Heyya)
17,“We” – نحن (NaHnu),“We” , نحن (NaHnu)
18,“You” – انتما (Antuma),“You” , انتما (Antuma)
19,“They” – هما (Humaa),“They” , هما (Humaa)
20,“We” – نحن (NaHnu),“We” , نحن (NaHnu)
21,“You” feminine – انتن (Antunna),“You” feminine , انتن (Antunna)
22,“You” masculine – انتم (Antum),“You” masculine , انتم (Antum)
23,“They” feminine – هن (Hunna),“They” feminine , هن (Hunna)
24,“They” masculine – هم (Hum),“They” masculine , هم (Hum)
25,“Day” – يوم (Yawm),“Day” , يوم (Yawm)
26,“Week” – أسبوع (usboue),“Week” , أسبوع (usboue)
27,“Month” – شهر (Cha-Hr),“Month” , شهر (Cha-Hr)
28,“Year” – سنة (Sana),“Year” , سنة (Sana)
29,“Today” – اليوم (Al’yawm),“Today” , اليوم (Al’yawm)
30,“Yesterday” – امس (Ams),“Yesterday” , امس (Ams)
31,“Tomorrow” – غدا (Ghadan),“Tomorrow” , غدا (Ghadan)
32,“Hour” – ساعة (Sa’aa),“Hour” , ساعة (Sa’aa)
33,“Minute” – دقيقة (Daqiqa),“Minute” , دقيقة (Daqiqa)
34,“Time” – زمن (Zaman),“Time” , زمن (Zaman)
35,“Before” – قبل (Qabl),“Before” , قبل (Qabl)
36,“After” – بعد (Ba’aad),“After” , بعد (Ba’aad)
37,“Now” – الان (Al’aan),“Now” , الان (Al’aan)
38,“Here” – هنا (Huna),“Here” , هنا (Huna)
39,“There” – هناك (Hunak),“There” , هناك (Hunak)
40,“Place” – مكان (Makan),“Place” , مكان (Makan)
41,“School” – مدرسة (Madrassa),“School” , مدرسة (Madrassa)
42,“Shop” – متجر (Matjar),“Shop” , متجر (Matjar)
43,“Work” – عمل (Aamal),“Work” , عمل (Aamal)
44,“Bathroom” – (Hamam) حمام,“Bathroom” , (Hamam) حمام
45,“City” – مدينة (Madina),“City” , مدينة (Madina)
46,“Country” – دولة (Dawla),“Country” , دولة (Dawla)
47,“Room” – غرفة (Ghurfa),“Room” , غرفة (Ghurfa)
48,“Mosque” – مسجد (Masjid),“Mosque” , مسجد (Masjid)
49,“Morocco” – مغرب (Maghreb),“Morocco” , مغرب (Maghreb)
50,“Airport” – مطار (Matar),“Airport” , مطار (Matar)
51,“Thing” – شيء (Chay’a),“Thing” , شيء (Chay’a)
52,“Nothing” – لا شيء (La chay’a),“Nothing” , لا شيء (La chay’a)
53,“House” – منزل (Manzil),“House” , منزل (Manzil)
54,“Car” – سيارة (Sayyara),“Car” , سيارة (Sayyara)
55,“Words” – كلمات (Kalimat),“Words” , كلمات (Kalimat)
56,“Language” – لغة (Logha),“Language” , لغة (Logha)
57,“Water” – ماء (Ma-aa),“Water” , ماء (Ma-aa)
58,“Movie” – فيلم (Film),“Movie” , فيلم (Film)
59,“Food” – أكل (Akl),“Food” , أكل (Akl)
60,“Tea” – شاي (Chai),“Tea” , شاي (Chai)
61,“Phone” – هاتف (Hatif),“Phone” , هاتف (Hatif)
62,“Woman” – امرأة (Imra-aa),“Woman” , امرأة (Imra-aa)
63,“Man” – رجل (Rajul),“Man” , رجل (Rajul)
64,“Girl” – بنت (Bint),“Girl” , بنت (Bint)
65,“Boy” – ولد (Walad),“Boy” , ولد (Walad)
66,“Friend” – صديق (Sadik),“Friend” , صديق (Sadik)
67,“Person” – شخص (Chakhs),“Person” , شخص (Chakhs)
68,“Husband” – زوج (Zawj),“Husband” , زوج (Zawj)
69,“Wife” – زوجة (Zawja),“Wife” , زوجة (Zawja)
70,“Family” – عائلة (A-ila),“Family” , عائلة (A-ila)
71,“Name” – اسم (Ism),“Name” , اسم (Ism)
72,“To do” – يفعل (Yaf’al),“To do” , يفعل (Yaf’al)
73,“To be” – يكون (Yakun),“To be” , يكون (Yakun)
74,“To become” – يصبح (YusbiH),“To become” , يصبح (YusbiH)
75,“To say” – يقول (Yaqol),“To say” , يقول (Yaqol)
76,“To come” – ياتي (Ya’ati),“To come” , ياتي (Ya’ati)
77,“To go” – يمشي (Yamshi),“To go” , يمشي (Yamshi)
78,“To arrive” – يصل (Yasil),“To arrive” , يصل (Yasil)
79,“To see” – يرى (Yaraa)2* “To send” – يرسل (Yursil),“To see” , يرى (Yaraa)2* “To send” – يرسل (Yursil)
80,“To have” – يملك (Yamlek),“To have” , يملك (Yamlek)
81,“To take” – يأخذ (Ya’akhuz),“To take” , يأخذ (Ya’akhuz)
82,“To wait” – ينتظر (Yantadir),“To wait” , ينتظر (Yantadir)
83,“To meet” – يلتقي (Yaltaqi),“To meet” , يلتقي (Yaltaqi)
84,“To live” – يعيش (Yaa’ish),“To live” , يعيش (Yaa’ish)
85,“To think” – يفكر (Yufakker),“To think” , يفكر (Yufakker)
86,“To give” – يعطي (Yua’ti),“To give” , يعطي (Yua’ti)
87,“To receive” – يتلقى (Yatalaqa),“To receive” , يتلقى (Yatalaqa)
88,“To know” – يعرف (Ya’arif),“To know” , يعرف (Ya’arif)
89,“To make” – يصنع (Yasnaa),“To make” , يصنع (Yasnaa)
90,“To use” – يستعمل (Yasta’mil),“To use” , يستعمل (Yasta’mil)
91,“To learn” – يتعلم (Yata’alam),“To learn” , يتعلم (Yata’alam)
92,“To eat” – يأكل (Ya’akul),“To eat” , يأكل (Ya’akul)
93,“To drink” – يشرب (Yashrub),“To drink” , يشرب (Yashrub)
94,“To laugh” – يضحك (YadHak),“To laugh” , يضحك (YadHak)
95,“To read” – يقرا (Yaqraa),“To read” , يقرا (Yaqraa)
96,“To like” – يحب (Yuhibb),“To like” , يحب (Yuhibb)
97,“To write” – يكتب(Yaktub),“To write” , يكتب(Yaktub)
98,"“Many, lots of” – كثير (Katheer)","“Many, lots of” ", كثير (Katheer)
99,“Few” – قليل (Qalil),“Few” , قليل (Qalil)
100,“Big” – كبير (Kabir),“Big” , كبير (Kabir)
101,“Small” – صغير (Saghir),“Small” , صغير (Saghir)
102,“Tall” – طويل (Tawil),“Tall” , طويل (Tawil)
103,“Short” – قصير (Qasir),“Short” , قصير (Qasir)
104,“Near” – قريب (Qarib),“Near” , قريب (Qarib)
105,“Far” – بعيد (Ba’id),“Far” , بعيد (Ba’id)
106,"“Good, nice” – جيد (Jayyed)","“Good, nice” ", جيد (Jayyed)
107,“Bad” – سيء (Saye’),“Bad” , سيء (Saye’)
108,“Easy” – سهل (Sahl),“Easy” , سهل (Sahl)
109,“Difficult” – صعب (Saab),“Difficult” , صعب (Saab)
110,“Beautiful” – جميل (Jamil),“Beautiful” , جميل (Jamil)
111,“Ugly” – قبيح (QabiH),“Ugly” , قبيح (QabiH)
112,“Delicious” – لذيذ (Laziz),“Delicious” , لذيذ (Laziz)
113,“Hot” – سخن (Sakhn),“Hot” , سخن (Sakhn)
114,“Cold” – بارد (Bared),“Cold” , بارد (Bared)
115,“Very” – جدا (Jidan),“Very” , جدا (Jidan)
116,"“But, however” – لكن (Lakin)","“But, however” ", لكن (Lakin)
117,“Also” – و (Wa),“Also” , و (Wa)
118,“For example” – مثلا (Mathalan),“For example” , مثلا (Mathalan)
119,“So” – لذا (leza),“So” , لذا (leza)
120,“Then” – ثم (Thomma) or بعدها (baedaha),“Then” , ثم (Thomma) or بعدها (baedaha)
121,“What’s up?” – لاباس عليك؟ (Labas ‘lik?),“What’s up?” , لاباس عليك؟ (Labas ‘lik?)
122,“I want to go.” – بغيت نمشي (Brit nmchi),“I want to go.” , بغيت نمشي (Brit nmchi)
123,“I want” – بغيت (Brit),“I want” , بغيت (Brit)
124,“Do you understand me?” – فهمتيني؟ (Fhemtini?),“Do you understand me?” , فهمتيني؟ (Fhemtini?)
125,“What is it?” – شنو هادا؟ (Shnu hada?),“What is it?” , شنو هادا؟ (Shnu hada?)
126,“How much is it?” – شحال هادا؟ (Shehal hada?),“How much is it?” , شحال هادا؟ (Shehal hada?)
127,“That is too expensive.” – هادا غالي بزاف (Hada rali bezzaf),“That is too expensive.” , هادا غالي بزاف (Hada rali bezzaf)
128,"“No, that is too much” – لا,هادشي بزاف (La, hadchi bezzaf)","“No, that is too much” "," لا,هادشي بزاف (La, hadchi bezzaf)"
129,“This is a good price” – هادا ثمن مزيان (Hada taman mezyan),“This is a good price” , هادا ثمن مزيان (Hada taman mezyan)
130,“I need…” – خصني (Khassni),“I need…” , خصني (Khassni)
131,“All clear” – صافي (Safi),“All clear” , صافي (Safi)
132,“All right” – واخا (Wakha),“All right” , واخا (Wakha)
133,“God willing” – ان شاء الله (Insha-Allah),“God willing” , ان شاء الله (Insha-Allah)
134,“Let’s go.” – يلاه (Yallah),“Let’s go.” , يلاه (Yallah)
135,“Nothing” – والو (Walou),“Nothing” , والو (Walou)
